,RegionName,City,State,Metro,CountyName,SizeRank,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
59,Mira Mesa,San Diego,CA,San Diego,San Diego,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.0,1551.0,1599.0,1557.0,1606.0,1587.0,1552.5,1572.5,1586.5,1626.0,1669.0,1674.0,1675.0,1675.0,1675.0,1674.0,1697.0,1719.0,1685.0,1669.5,1650.0,1670.5,1705.0,1756.0,1852.5,1841.0
101,University City,San Diego,CA,San Diego,San Diego,102,,,,,,,,,,,,,,,,1500.0,1625.0,1706.0,1650.0,1595.0,1460.5,1427.5,1430.0,1445.0,1445.0,1445.0,1480.0,1448.0,1400.0,1406.0,1400.0,1409.0,1409.0,1425.0,1403.0,1443.0,1416.0,1434.0,1457.5,1480.5,1541.5,1500.0,1555.0,1497.5,1500.0,1460.0,1400.0,1500.0,1582.5,1560.0,1585.0,1555.0,1650.0,1790.0,1795.0,1817.5,1800.0,1795.0,1767.5,1738.5,1815.0,1810.0,1815.0,1827.5,1955.0,1910.0,1835.0,1795.0,1855.0,1885.0,1836.0,1805.0,1870.0,1880.0,1925.0,1920.0,1955.0,1900.0,1795.0,1800.0,1850.0,1835.0,1875.0,1882.0,1982.5,1977.5,1962.0,1881.0,1926.0,1926.0,1945.0,1917.0,1908.0,1974.0,1940.0,1955.5,2007.5,2060.0
119,Carmel Valley,San Diego,CA,San Diego,San Diego,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105.5,2104.0,2132.5,2195.0,2196.0,2192.0,2235.0,2243.0,2244.0,2277.5,2260.0,2205.0,2213.5,2185.0,2250.0,2545.0,2550.0,2465.0
141,North Park,San Diego,CA,San Diego,San Diego,142,,,,,,,,,,,,,,,,,885.0,835.0,850.0,875.0,895.0,925.0,895.0,950.0,925.0,900.0,950.0,995.0,995.0,952.5,950.0,950.0,995.0,975.0,975.0,997.5,1025.0,1050.0,1050.0,1095.0,1050.0,1045.0,1000.0,995.0,995.0,1025.0,1025.0,1047.5,1117.5,1195.0,1172.5,1099.0,1190.0,1150.0,1150.0,1207.5,1262.5,1195.0,1195.0,1250.0,1250.0,1250.0,1200.0,1300.0,1325.0,1275.0,1275.0,1300.0,1312.5,1300.0,1295.0,1300.0,1350.0,1300.0,1295.0,1400.0,1312.5,1350.0,1350.0,1395.0,1375.0,1395.0,1450.0,1395.0,1450.0,1495.0,1475.0,1550.0,1500.0,1450.0,1425.0,1450.0,1495.0,1495.0,1495.0,1500.0,1500.0,1500.0
183,La Jolla,San Diego,CA,San Diego,San Diego,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.0,1870.0,1865.0,1850.0,1870.0,1797.5,1962.5,1850.0,1980.0,1872.5,1800.0,1995.0,1902.5,1945.0,1942.5,1937.5,2065.0,2050.0,2167.5
188,Pacific Beach,San Diego,CA,San Diego,San Diego,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.0,1300.0,1350.0,1295.0,1295.0,1300.0,1412.5,1347.5,1272.5,1350.0,1375.0,1397.5,1375.0,1325.0,1325.0,1350.0,1422.5,1400.0,1485.0,1437.5,1495.0,1495.0,1500.0,1500.0,1450.0,1450.0,1650.0,1525.0,1525.0,1450.0,1525.0,1525.0,1450.0,1600.0,1575.0,1550.0,1450.0,1572.5,1550.0,1500.0,1525.0,1595.0,1599.5,1695.0,1650.0,1650.0,1675.0,1650.0,1695.0,1695.0,1695.0,1680.0,1675.0,1695.0,1695.0,1750.0
205,Serra Mesa,San Diego,CA,San Diego,San Diego,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,2035.0,1985.0,2020.0,2055.0,2025.0,2045.0,1855.0,1943.0,1939.0,1995.0,2060.0,2060.0,2155.0
285,Hillcrest,San Diego,CA,San Diego,San Diego,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495.0,1532.5,1495.0,1650.0,1650.0,1600.0,1695.0,1700.0,1597.5,1550.0,1562.5,1650.0,1750.0,1795.0,1695.0,1695.0,1695.0,1675.0
320,University Heights,San Diego,CA,San Diego,San Diego,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,1445.0,1475.0,1410.0,1450.0,1400.0,1500.0,1495.0,1472.5,1450.0,1450.0,1450.0,1495.0,1495.0,1450.0,1595.0,1595.0,1595.0
365,Mission Valley East,San Diego,CA,San Diego,San Diego,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705.0,1725.0,1720.0,1720.0,1705.0,1710.0,1710.0,1710.0,1735.0,1812.5,1849.0,1865.0,1832.5,1795.0,1785.0,1788.5,1775.0,1745.0,1785.0,1905.0,1903.5,1855.0,1887.5,1880.5,1897.5,1850.0,1819.0,1852.5,1860.0,1964.0,2003.5,1965.0,1943.0,1939.0,1945.0,1993.0,1983.5,1955.0,1922.5,1930.0,1995.0,2020.0,1990.0,2045.0,2042.5
