,County_name,State_name,Tot_Population_CEN_2010,state,county,tract
0,San Diego County,California,3029,06,073,000100
1,San Diego County,California,1801,06,073,000201
2,San Diego County,California,4208,06,073,000202
3,San Diego County,California,4732,06,073,000300
4,San Diego County,California,3669,06,073,000400
5,San Diego County,California,2722,06,073,000500
6,San Diego County,California,3108,06,073,000600
7,San Diego County,California,3754,06,073,000700
8,San Diego County,California,4280,06,073,000800
9,San Diego County,California,5178,06,073,000900
10,San Diego County,California,4733,06,073,001000
11,San Diego County,California,3098,06,073,001100
12,San Diego County,California,5660,06,073,001200
13,San Diego County,California,6197,06,073,001300
14,San Diego County,California,3084,06,073,001400
15,San Diego County,California,3934,06,073,001500
16,San Diego County,California,5651,06,073,001600
17,San Diego County,California,4772,06,073,001700
18,San Diego County,California,5319,06,073,001800
19,San Diego County,California,2939,06,073,001900
20,San Diego County,California,3354,06,073,002001
21,San Diego County,California,2559,06,073,002002
22,San Diego County,California,5259,06,073,002100
23,San Diego County,California,3796,06,073,002201
24,San Diego County,California,4859,06,073,002202
25,San Diego County,California,2821,06,073,002301
26,San Diego County,California,6589,06,073,002302
27,San Diego County,California,4573,06,073,002401
28,San Diego County,California,5254,06,073,002402
29,San Diego County,California,5504,06,073,002501
30,San Diego County,California,6264,06,073,002502
31,San Diego County,California,6148,06,073,002601
32,San Diego County,California,4450,06,073,002602
33,San Diego County,California,5180,06,073,002702
34,San Diego County,California,6900,06,073,002703
35,San Diego County,California,4300,06,073,002705
36,San Diego County,California,5369,06,073,002707
37,San Diego County,California,5689,06,073,002708
38,San Diego County,California,3945,06,073,002709
39,San Diego County,California,4228,06,073,002710
40,San Diego County,California,3200,06,073,002711
41,San Diego County,California,4652,06,073,002712
42,San Diego County,California,3068,06,073,002801
43,San Diego County,California,5370,06,073,002803
44,San Diego County,California,4638,06,073,002804
45,San Diego County,California,5272,06,073,002902
46,San Diego County,California,3717,06,073,002903
47,San Diego County,California,7316,06,073,002904
48,San Diego County,California,4022,06,073,002905
49,San Diego County,California,4226,06,073,003001
50,San Diego County,California,5062,06,073,003003
51,San Diego County,California,4940,06,073,003004
52,San Diego County,California,3785,06,073,003101
53,San Diego County,California,6256,06,073,003103
54,San Diego County,California,4167,06,073,003105
55,San Diego County,California,5992,06,073,003107
56,San Diego County,California,3520,06,073,003108
57,San Diego County,California,3358,06,073,003109
58,San Diego County,California,6183,06,073,003111
59,San Diego County,California,4574,06,073,003112
60,San Diego County,California,5043,06,073,003113
61,San Diego County,California,3341,06,073,003114
62,San Diego County,California,6454,06,073,003115
63,San Diego County,California,4932,06,073,003201
64,San Diego County,California,4551,06,073,003202
65,San Diego County,California,3453,06,073,003204
66,San Diego County,California,5890,06,073,003207
67,San Diego County,California,6619,06,073,003208
68,San Diego County,California,5385,06,073,003209
69,San Diego County,California,3165,06,073,003211
70,San Diego County,California,4053,06,073,003212
71,San Diego County,California,4193,06,073,003213
72,San Diego County,California,4610,06,073,003214
73,San Diego County,California,3337,06,073,003301
74,San Diego County,California,4193,06,073,003303
75,San Diego County,California,3563,06,073,003304
76,San Diego County,California,5738,06,073,003305
77,San Diego County,California,6065,06,073,003401
78,San Diego County,California,4283,06,073,003403
79,San Diego County,California,4634,06,073,003404
80,San Diego County,California,4255,06,073,003501
81,San Diego County,California,4946,06,073,003502
82,San Diego County,California,3250,06,073,003601
83,San Diego County,California,3079,06,073,003602
84,San Diego County,California,4228,06,073,003603
85,San Diego County,California,6530,06,073,003800
86,San Diego County,California,4241,06,073,003901
87,San Diego County,California,4927,06,073,003902
88,San Diego County,California,5160,06,073,004000
89,San Diego County,California,6546,06,073,004100
90,San Diego County,California,5673,06,073,004200
91,San Diego County,California,3665,06,073,004300
92,San Diego County,California,3866,06,073,004400
93,San Diego County,California,2875,06,073,004501
94,San Diego County,California,1940,06,073,004600
95,San Diego County,California,1858,06,073,004700
96,San Diego County,California,4115,06,073,004800
97,San Diego County,California,5028,06,073,004900
98,San Diego County,California,2227,06,073,005000
99,San Diego County,California,7140,06,073,005100
100,San Diego County,California,4563,06,073,005200
101,San Diego County,California,6667,06,073,005300
102,San Diego County,California,7435,06,073,005400
103,San Diego County,California,198,06,073,005500
104,San Diego County,California,4463,06,073,005600
105,San Diego County,California,1948,06,073,005700
106,San Diego County,California,2725,06,073,005800
107,San Diego County,California,2821,06,073,005900
108,San Diego County,California,3536,06,073,006000
109,San Diego County,California,2237,06,073,006100
110,San Diego County,California,144,06,073,006200
111,San Diego County,California,3435,06,073,006300
112,San Diego County,California,2569,06,073,006500
113,San Diego County,California,1920,06,073,006600
114,San Diego County,California,2503,06,073,006801
115,San Diego County,California,5032,06,073,006802
116,San Diego County,California,5148,06,073,006900
117,San Diego County,California,2947,06,073,007002
118,San Diego County,California,5029,06,073,007100
119,San Diego County,California,5493,06,073,007200
120,San Diego County,California,4948,06,073,007301
121,San Diego County,California,2060,06,073,007302
122,San Diego County,California,6590,06,073,007400
123,San Diego County,California,4040,06,073,007501
124,San Diego County,California,3227,06,073,007502
125,San Diego County,California,5607,06,073,007600
126,San Diego County,California,3703,06,073,007701
127,San Diego County,California,3849,06,073,007702
128,San Diego County,California,5724,06,073,007800
129,San Diego County,California,4487,06,073,007903
130,San Diego County,California,2584,06,073,007905
131,San Diego County,California,3048,06,073,007907
132,San Diego County,California,2819,06,073,007908
133,San Diego County,California,2797,06,073,007910
134,San Diego County,California,2522,06,073,008002
135,San Diego County,California,3334,06,073,008003
136,San Diego County,California,3805,06,073,008006
137,San Diego County,California,4009,06,073,008101
138,San Diego County,California,3395,06,073,008102
139,San Diego County,California,3022,06,073,008200
140,San Diego County,California,3094,06,073,008301
141,San Diego County,California,3446,06,073,008303
142,San Diego County,California,10482,06,073,008305
143,San Diego County,California,2997,06,073,008306
144,San Diego County,California,3794,06,073,008307
145,San Diego County,California,5392,06,073,008310
146,San Diego County,California,2884,06,073,008311
147,San Diego County,California,3629,06,073,008312
148,San Diego County,California,2225,06,073,008313
149,San Diego County,California,6600,06,073,008324
150,San Diego County,California,5775,06,073,008327
151,San Diego County,California,5162,06,073,008328
152,San Diego County,California,6347,06,073,008329
153,San Diego County,California,5668,06,073,008330
154,San Diego County,California,2466,06,073,008331
155,San Diego County,California,13748,06,073,008333
156,San Diego County,California,10541,06,073,008335
157,San Diego County,California,2332,06,073,008336
158,San Diego County,California,4316,06,073,008337
159,San Diego County,California,1853,06,073,008339
160,San Diego County,California,8988,06,073,008340
161,San Diego County,California,7614,06,073,008341
162,San Diego County,California,4587,06,073,008343
163,San Diego County,California,3462,06,073,008344
164,San Diego County,California,3254,06,073,008345
165,San Diego County,California,4615,06,073,008346
166,San Diego County,California,6358,06,073,008347
167,San Diego County,California,5259,06,073,008348
168,San Diego County,California,3514,06,073,008349
169,San Diego County,California,6493,06,073,008350
170,San Diego County,California,4261,06,073,008351
171,San Diego County,California,3517,06,073,008352
172,San Diego County,California,5048,06,073,008353
173,San Diego County,California,5972,06,073,008354
174,San Diego County,California,3365,06,073,008355
175,San Diego County,California,3629,06,073,008356
176,San Diego County,California,4345,06,073,008357
177,San Diego County,California,6554,06,073,008358
178,San Diego County,California,3975,06,073,008359
179,San Diego County,California,5857,06,073,008360
180,San Diego County,California,2642,06,073,008361
181,San Diego County,California,3141,06,073,008362
182,San Diego County,California,4921,06,073,008363
183,San Diego County,California,4992,06,073,008364
184,San Diego County,California,2979,06,073,008365
185,San Diego County,California,5881,06,073,008366
186,San Diego County,California,5271,06,073,008501
187,San Diego County,California,6241,06,073,008502
188,San Diego County,California,6599,06,073,008503
189,San Diego County,California,6021,06,073,008504
190,San Diego County,California,5605,06,073,008505
